Date,SP500,BTU,MRNA,ACH,BX,CCJ,ASML,HNP,HCC,SE,HCA,MS,DHR,CARR,GOOG,AQUA,URE,GRMN,TRI
2021-03-29,-1.159333442033241,-11.060741756962242,20.612772803359295,27.19330350546727,8.229549544366698,24.47391946798222,29.003524374788487,-21.250126212087796,-16.747512878272204,28.79384226389269,14.463048117928235,16.99446823351657,-7.821476593040757,15.41194878657591,9.739104896157812,4.0585864361706285,8.292288968358179,5.9757843082307565,-1.9249438064572855
2021-04-05,-1.3429642552267131,-4.338057038190315,23.058827870467134,36.43645267150204,7.377648254603146,20.293890088602733,23.75943168678981,-24.928405176336383,-19.316132642889734,30.30144228837556,13.590169258054436,16.423236366184955,-7.470586892978151,12.870947304659536,13.541010077715713,1.6773271327855264,6.030940249039896,6.584315050733691,-2.874194565738648
2021-04-12,-0.8667915318030602,11.19259428301691,45.22369296942789,37.93613022656666,9.594905943185827,13.522031832417674,23.70668764003108,-22.945406977537093,-11.90653408684908,27.52112765571303,15.57206124544426,11.618033846859754,-4.110459087177929,13.621173283640703,12.739013875504307,4.467805958002374,10.199391763527657,7.520705580466962,-1.8713006580317622
2021-04-19,-0.589307040575407,21.174046299958455,45.94097648376743,43.502236863864596,20.67678542101434,13.824671476964859,27.866566784529784,-22.663679292214145,-16.65378690705676,28.847636167867936,18.630436943438376,14.629341757062875,2.650452075122567,14.474626960249859,13.684263487067833,3.840327192495356,14.649067330051716,8.097183957719555,-2.1064994987772967
2021-04-26,-0.05863294439292065,8.473675581330555,48.98714339091905,44.48938803657427,22.58890414233403,16.79604373696436,23.07982832653932,-20.177660170362792,-23.805488486840133,24.37283489918701,17.57797686590265,16.52687780370547,0.7306018802874195,11.59772976498139,18.468100771880767,4.262398216196404,16.960430312707203,5.096642536440993,-0.6237392844213011
2021-05-03,2.781781564614596,52.05182931126632,36.592843028085696,69.61152763524801,26.2729222112761,40.57884875153211,26.07011660286474,-16.412373648195917,-20.871381593922262,18.676814215583963,24.209719248338565,24.67192517224201,3.890636282060483,15.575043111280667,19.331060174075102,8.32814112576868,16.388475641709626,11.275448542942577,5.794786998498185
2021-05-10,3.856639486763655,95.24153811393212,36.611574129539235,58.41178158546501,25.371043786352114,40.08216382355986,26.079381568728323,-14.860275465238121,-18.01907571167511,8.45532590811731,26.85923640318442,26.242566967054398,4.214182873672525,14.29595841838736,17.637885279416686,9.963338311061614,16.039429095480056,11.203850573473051,5.6381785428765525
2021-05-17,3.211034097233758,74.9770107681529,34.404101225360876,55.07185647951712,29.284241099905124,37.25558095133108,23.325763065662166,-15.566758755694188,-11.752214481887028,21.42212397695858,22.710462638639,26.54245422040658,3.3578323530275496,13.888271470136363,18.300997021261626,13.02227730954363,17.93447483631517,10.303086957499579,5.552041269552414
2021-05-24,2.3780972091170987,92.79334425722072,48.576381445133975,54.85213312482185,28.907394097213867,36.92534378321675,26.80679800464339,-15.50523902570541,-9.055672488475311,20.90593598192231,24.109737175152173,26.77409038666063,2.580216779029701,15.913717720279784,18.743736835516934,14.13528457088978,19.851536256046543,9.746381804114884,6.701984786340775
2021-05-31,2.551759396453904,134.852296698471,61.755999287975406,42.90450108194035,28.626828554672183,44.76554172893467,26.80216050786461,-11.25343490187328,-4.192575695660607,20.788553324518976,21.83517348449531,29.313864218040038,-3.4521150464283106,14.336989140975492,19.605590804808354,17.485930742442314,25.053313247121377,10.179745656133662,6.669142023184175
2021-06-07,1.155405851993476,149.19613836414246,65.34918361551061,43.508325774935415,28.696636281877012,40.6741730996202,26.199722029092605,-12.312328426626607,-13.025283944761446,26.76258472561531,17.43396814526385,23.581257678277726,-3.33849975599141,11.91046161954296,19.781730271869773,14.054933321693996,27.26372842424867,8.896042042886554,3.9752616047281317
2021-06-14,-0.4327564582549923,99.72177412926327,48.247974919439116,28.625030356026848,29.656627885098686,23.26072762744557,21.142278386803646,-11.572584102688719,-19.699278369911482,27.89781429626055,11.18914412809622,12.650537848269982,0.7557628752592197,8.946567460092115,19.423305626795575,12.894521904140149,19.970035325970315,5.174330003274533,3.422000841107193
2021-06-21,-0.040658718379537356,97.88914769400935,56.84430654463145,44.13812725478285,28.65399600490171,26.802898263706542,20.38820279214656,-9.18686860111638,-14.582576055535224,24.02573514792376,11.090609821748357,15.069059840889764,1.9723534594339527,10.49265922918468,17.508894464942824,15.006134957282956,20.26012850695114,6.110190916063715,2.0857078539879192
2021-06-28,-0.23928014733376313,108.53107183364301,61.59285796469879,35.05734441858889,24.42421548163837,19.01213579380894,17.703773239780393,-16.935606304608314,-17.958042301456505,16.303411634333802,11.980825990574056,16.944729700714362,2.7717353105289493,11.155373393212757,16.346782109159008,12.290830874759116,16.494846253502303,5.877137024983824,1.8948933021809837
2021-07-05,-0.1835464643227151,160.194316727308,57.09925570202626,37.64805686024339,25.872046278279825,13.230174516067011,17.175750296266155,-20.472011302184747,-16.167832545611045,15.445718051724864,13.070833697597642,13.744863924889197,3.6153941312302873,9.58382058538439,16.154509539784375,9.150602540768462,21.296382023252956,6.547704015031316,2.82543652352001
2021-07-12,0.7605026900809442,105.28829640648523,92.0248437798691,39.49165795347609,30.416657658559572,5.519976987140921,17.86105501684839,-18.28282440980608,-16.74607321278809,13.187308674611678,14.844784270535062,16.32610476423844,8.281733960613034,12.890850729882663,19.73416498038845,5.54748066509972,24.046133532918013,8.72944615800121,5.545584193642581
2021-07-19,-0.05889099625833918,142.13548468908064,120.25010775657046,37.168738178892674,36.73140373198166,3.7370411398496692,23.67824278538488,-19.88040501513653,-16.230315963673682,21.1943089886653,25.646274791841755,16.433372321989502,7.571761468761997,15.416293452675657,20.907016699085045,7.547487375901385,21.082841660474433,8.821969041024165,4.719316263358996
2021-07-26,0.7258583273132155,153.20501958231233,118.46640018559552,33.680844247473075,41.60951380909213,8.797891423662518,27.014902342583053,-19.97419718859016,-10.45619815109307,12.696185546679702,26.02840848319174,18.73900493797134,10.89461860106945,23.357494481210484,19.221881513047766,9.069565668752427,22.613227980833063,11.939164454292627,7.232341557802051
2021-08-02,0.5624483065073991,154.0932084091942,143.09889508296197,29.066454204078774,37.366165430224925,3.8486089770015344,27.098998218396154,-13.077299121737909,-10.235198880365223,21.10771163507214,24.651638508839476,21.053026773496462,12.995432114045801,23.533074652973347,18.802055136363837,17.255834556923357,21.553455931977428,16.202206264411323,11.964176061198424
2021-08-09,1.353751535556701,165.6197471643637,121.31092953944658,36.979778565566086,36.53224656481483,0.7501860792320856,26.862467263064953,-8.538279977968493,-14.575167388175506,21.70692950901934,20.350379606102162,25.150310823252582,15.56571883564207,22.184740510892905,19.38529621947808,22.64075046276707,20.648861623714062,16.967913631210102,14.20169223198496
2021-08-16,1.5049023265768284,143.00378537493873,111.74521822026915,20.440196507293827,34.311315561817146,-2.6772200446754644,26.398743181237755,0.043620221055781394,-9.737566896869556,22.456701154731917,23.532743761188758,21.149103819566122,18.160143025535042,20.509913356934664,19.563886390974623,24.101007752175207,21.076503768507305,19.235839760864007,14.080746465487598
2021-08-23,0.29234257821957504,179.40410252551325,99.11704899247957,38.198579011476305,41.50657898418506,4.271393766456585,28.578827284617013,13.028742589794307,4.545424603508846,22.41084149307601,20.59890321394916,22.42352122546742,13.7756129360259,22.53910850539701,20.6393287154499,22.657748385764755,17.38095255138996,19.071522599663286,12.05602151769944
2021-08-30,-0.58197992122928,197.05629702773174,107.03379706706872,44.68129535629377,42.98155620551326,23.595083193974638,29.12798718522604,33.645247709714845,14.319412893136274,31.273068347801463,18.55719013035924,18.295165184223723,16.40614148830731,18.125687839481408,18.192325214200597,17.587923384967073,23.885548366207136,16.817103399055448,13.425535905581448
2021-09-06,-0.614205901447205,210.76989732066554,119.11846524467238,68.68953270952885,43.167234498100946,40.42579999411013,29.933809743030814,25.57225097070382,24.402699295865897,21.890888431189794,21.252366261462406,18.45851370725849,17.088844356003975,17.317655251047107,16.951157712388827,16.545746950424203,15.862538770294007,15.68963046048872,14.904849891315743
2021-09-10,-0.5648318417846515,195.55847591406308,111.77711707293223,64.9697759575613,41.42224638750129,38.65279473615378,28.557258419970992,25.541342038296914,24.103170877449035,20.8638093600527,20.305622547719214,17.434170216890287,16.7576829469971,16.64798424383149,16.139611683186587,15.958321867111755,15.390468351992952,15.026094202023621,14.69862450618977
